대여일시,대여건수,,,,
2022-01-01," 29,185 ",,,,
2022-01-02," 28,914 ",,,,
2022-01-03," 53,573 ",,,,
2022-01-04," 56,344 ",,,,
2022-01-05," 57,413 ",,,,
2022-01-06," 59,714 ",,,,
2022-01-07," 60,422 ",,,,
2022-01-08," 45,366 ",,,,
2022-01-09," 38,304 ",,,,
2022-01-10," 58,706 ",,,,
2022-01-11," 39,715 ",,,,
2022-01-12," 45,304 ",,,,
2022-01-13," 43,881 ",,,,
2022-01-14," 50,087 ",,,,
2022-01-15," 41,820 ",,,,
2022-01-16," 32,433 ",,,,
2022-01-17," 36,605 ",,,,
2022-01-18," 46,018 ",,,,
2022-01-19," 27,105 ",,,,
2022-01-20," 41,568 ",,,,
2022-01-21," 51,219 ",,,,
2022-01-22," 44,304 ",,,,
2022-01-23," 41,704 ",,,,
2022-01-24," 63,894 ",,,,
2022-01-25," 47,991 ",,,,
2022-01-26," 63,246 ",,,,
2022-01-27," 59,413 ",,,,
2022-01-28," 56,150 ",,,,
2022-01-29," 38,024 ",,,,
2022-01-30," 31,891 ",,,,
2022-01-31," 29,553 ",,,,
2022-02-01," 14,212 ",,,,
2022-02-02," 28,743 ",,,,
2022-02-03," 46,840 ",,,,
2022-02-04," 45,787 ",,,,
2022-02-05," 31,339 ",,,,
2022-02-06," 31,079 ",,,,
2022-02-07," 52,453 ",,,,
2022-02-08," 58,927 ",,,,
2022-02-09," 62,895 ",,,,
2022-02-10," 64,927 ",,,,
2022-02-11," 67,004 ",,,,
2022-02-12," 58,539 ",,,,
2022-02-13," 52,389 ",,,,
2022-02-14," 46,767 ",,,,
2022-02-15," 47,756 ",,,,
2022-02-16," 42,522 ",,,,
2022-02-17," 46,195 ",,,,
2022-02-18," 56,957 ",,,,
2022-02-19," 39,653 ",,,,
2022-02-20," 30,847 ",,,,
2022-02-21," 48,680 ",,,,
2022-02-22," 48,398 ",,,,
2022-02-23," 47,234 ",,,,
2022-02-24," 53,734 ",,,,
2022-02-25," 61,573 ",,,,
2022-02-26," 38,403 ",,,,
2022-02-27," 52,957 ",,,,
2022-02-28," 72,542 ",,,,
2022-03-01," 49,748 ",,,,
2022-03-02," 70,625 ",,,,
2022-03-03," 77,700 ",,,,
2022-03-04," 72,968 ",,,,
