"대여일자","대여건수"
"2023-07-01","138848"
"2023-07-02","132519"
"2023-07-03","171026"
"2023-07-04","79773"
"2023-07-05","171939"
"2023-07-06","185517"
"2023-07-07","191206"
"2023-07-08","154423"
"2023-07-09","81833"
"2023-07-10","159154"
"2023-07-11","56819"
"2023-07-12","168418"
"2023-07-13","41165"
"2023-07-14","24226"
"2023-07-15","69393"
"2023-07-16","93350"
"2023-07-17","147346"
"2023-07-18","118187"
"2023-07-19","173226"
"2023-07-20","169877"
"2023-07-21","160865"
"2023-07-22","84758"
"2023-07-23","31837"
"2023-07-24","161070"
"2023-07-25","158705"
"2023-07-26","146479"
"2023-07-27","159895"
"2023-07-28","153268"
"2023-07-29","119933"
"2023-07-30","81868"
"2023-07-31","145077"
"2023-08-01","152764"
"2023-08-02","153384"
"2023-08-03","152246"
"2023-08-04","147761"
"2023-08-05","112326"
"2023-08-06","96077"
"2023-08-07","145554"
"2023-08-08","153593"
"2023-08-09","155572"
"2023-08-10","9333"
"2023-08-11","47228"
"2023-08-12","102782"
"2023-08-13","119034"
"2023-08-14","156353"
"2023-08-15","132095"
"2023-08-16","169885"
"2023-08-17","170943"
"2023-08-18","161698"
"2023-08-19","134303"
"2023-08-20","122592"
"2023-08-21","163981"
"2023-08-22","101681"
"2023-08-23","57844"
"2023-08-24","148749"
"2023-08-25","173593"
"2023-08-26","149424"
"2023-08-27","126015"
"2023-08-28","66917"
"2023-08-29","63964"
"2023-08-30","100739"
"2023-08-31","187063"
"2023-09-01","196234"
"2023-09-02","167368"
"2023-09-03","136338"
"2023-09-04","178038"
"2023-09-05","174696"
"2023-09-06","187670"
"2023-09-07","131889"
"2023-09-08","196674"
"2023-09-09","167334"
"2023-09-10","153532"
"2023-09-11","199362"
"2023-09-12","201165"
"2023-09-13","53263"
"2023-09-14","194667"
"2023-09-15","116772"
"2023-09-16","94644"
"2023-09-17","135100"
"2023-09-18","200344"
"2023-09-19","202886"
"2023-09-20","37782"
"2023-09-21","198839"
"2023-09-22","211000"
"2023-09-23","186459"
"2023-09-24","167382"
"2023-09-25","157395"
"2023-09-26","27143"
"2023-09-27","141358"
"2023-09-28","126058"
"2023-09-29","103986"
"2023-09-30","103695"
"2023-10-01","151020"
"2023-10-02","171036"
"2023-10-03","167059"
"2023-10-04","132537"
"2023-10-05","186080"
"2023-10-06","200078"
"2023-10-07","176986"
"2023-10-08","141615"
"2023-10-09","151130"
"2023-10-10","195286"
"2023-10-11","204173"
"2023-10-12","201396"
"2023-10-13","203659"
"2023-10-14","111638"
"2023-10-15","159332"
"2023-10-16","189744"
"2023-10-17","191776"
"2023-10-18","193924"
"2023-10-19","118197"
"2023-10-20","170244"
"2023-10-21","132500"
"2023-10-22","134066"
"2023-10-23","184120"
"2023-10-24","187766"
"2023-10-25","192778"
"2023-10-26","164556"
"2023-10-27","192266"
"2023-10-28","160764"
"2023-10-29","147452"
"2023-10-30","186956"
"2023-10-31","193108"
"2023-11-01","187987"
"2023-11-02","202591"
"2023-11-03","160432"
"2023-11-04","161023"
"2023-11-05","59274"
"2023-11-06","47700"
"2023-11-07","138377"
"2023-11-08","159097"
"2023-11-09","134271"
"2023-11-10","129657"
"2023-11-11","87798"
"2023-11-12","68275"
"2023-11-13","117868"
"2023-11-14","136266"
"2023-11-15","147369"
"2023-11-16","58048"
"2023-11-17","106103"
"2023-11-18","74022"
"2023-11-19","84580"
"2023-11-20","133538"
"2023-11-21","142667"
"2023-11-22","148945"
"2023-11-23","131152"
"2023-11-24","99893"
"2023-11-25","70554"
"2023-11-26","71061"
"2023-11-27","77697"
"2023-11-28","109150"
"2023-11-29","100192"
"2023-11-30","88350"
"2023-12-01","92493"
"2023-12-02","72805"
"2023-12-03","64171"
"2023-12-04","109554"
"2023-12-05","124074"
"2023-12-06","88354"
"2023-12-07","120227"
"2023-12-08","131896"
"2023-12-09","104904"
"2023-12-10","90687"
"2023-12-11","21196"
"2023-12-12","107450"
"2023-12-13","122098"
"2023-12-14","32536"
"2023-12-15","29494"
"2023-12-16","35059"
"2023-12-17","29901"
"2023-12-18","62249"
"2023-12-19","66154"
"2023-12-20","42819"
"2023-12-21","45353"
"2023-12-22","46935"
"2023-12-23","41327"
"2023-12-24","27591"
"2023-12-25","27330"
"2023-12-26","74783"
"2023-12-27","82145"
"2023-12-28","82354"
"2023-12-29","84168"
"2023-12-30","15214"
"2023-12-31","29130"
