위도,경도,index,대지위치,총주차대수(대)
36.53480426,127.2398572,,,
36.53235983,127.2443513,,,
36.53228601,127.2445178,,,
36.52990298,127.2471043,,,
36.52970992,127.2472671,,,
36.52643978,127.256835,,,
36.52642437,127.2571034,,,
36.52627244,127.2609633,,,
36.52619992,127.2611234,,,
36.5349889,127.2677373,1132,세종특별자치시  산울동 196-6번지,11.0
36.5314379,127.2576555,1133,세종특별자치시  산울동 274-229번지,505.0
36.5313785,127.2626021,1134,세종특별자치시  산울동 310번지,24.0
36.5356759,127.2566042,1136,세종특별자치시  산울동 644번지,547.0
36.5355319,127.2428507,1137,세종특별자치시  산울동 680번지,505.0
