type,latitude,longitude,altitude (m),name
W,36.52146538,127.2330216,90.2,제목 없는 위치표시
W,36.52124989,127.2328986,93.6,제목 없는 위치표시
W,36.5194139,127.2425177,43.8,제목 없는 위치표시
W,36.52242558,127.2322689,89.1,제목 없는 위치표시
W,36.5220965,127.2343598,79.0,제목 없는 위치표시
W,36.52246972,127.2324067,87.1,제목 없는 위치표시
W,36.52143564,127.2328648,92.0,제목 없는 위치표시
W,36.52078928,127.2424154,56.5,제목 없는 위치표시
W,36.52205851,127.2438193,45.5,
W,36.5220059,127.2436663,45.1,제목 없는 위치표시
W,36.52083316,127.2425071,55.8,제목 없는 위치표시
W,36.5221083,127.2438646,45.7,제목 없는 위치표시
W,36.51972549,127.2425591,44.3,제목 없는 위치표시
W,36.51940108,127.2424074,44.2,제목 없는 위치표시
W,36.52142893,127.2331141,89.8,제목 없는 위치표시
W,36.52199403,127.2344392,78.9,제목 없는 위치표시
W,36.52224835,127.2346131,78.2,제목 없는 위치표시
W,36.52213708,127.234681,78.1,제목 없는 위치표시
W,36.52206402,127.2346128,78.3,제목 없는 위치표시
W,36.52136819,127.2331516,90.2,제목 없는 위치표시
W,36.5212338,127.2331516,91.6,제목 없는 위치표시
W,36.52121377,127.2330068,93.1,제목 없는 위치표시
W,36.52075377,127.2318249,97.4,제목 없는 위치표시
W,36.5208275,127.2317778,97.3,제목 없는 위치표시
W,36.52133527,127.2328621,93.0,제목 없는 위치표시
W,36.52200102,127.2344958,78.7,제목 없는 위치표시
W,36.51966012,127.2426086,44.0,제목 없는 위치표시
W,36.52000238,127.240999,52.6,제목 없는 위치표시
W,36.51997742,127.2408966,52.9,제목 없는 위치표시
W,36.52001357,127.2406797,54.0,제목 없는 위치표시
W,36.52023974,127.2408141,57.0,제목 없는 위치표시
W,36.52022836,127.2409572,56.2,제목 없는 위치표시
W,36.52033034,127.2394419,67.5,제목 없는 위치표시
W,36.52015822,127.2395149,63.9,제목 없는 위치표시
W,36.52037456,127.2392182,70.6,제목 없는 위치표시
W,36.52038269,127.2393635,69.1,제목 없는 위치표시
W,36.52030072,127.2391372,70.5,제목 없는 위치표시
W,36.52013406,127.239109,68.8,제목 없는 위치표시
W,36.52006938,127.2391887,66.9,제목 없는 위치표시
W,36.52004679,127.2394091,63.6,제목 없는 위치표시
W,36.52027838,127.2374008,74.2,제목 없는 위치표시
W,36.52027301,127.2374198,74.4,제목 없는 위치표시
W,36.52015236,127.2375122,73.3,제목 없는 위치표시
W,36.51998888,127.2355414,81.4,제목 없는 위치표시
W,36.51988574,127.2356437,79.6,제목 없는 위치표시
W,36.51979359,127.2354508,84.2,제목 없는 위치표시
W,36.51980666,127.2355759,81.4,제목 없는 위치표시
