DPTR_LEGALDONG_CD,ARVL_LEGALDONG_CD,OD_TYPE_CD,WEEK_CD,TM_CD,CFTM_AVE_TRFC_QTY,CFTM_AVE_EXPDG_TRFC_QTY,출발지,도착지
29010370,29010110,2,1,18,0.142857,1.21633,전의면,조치원읍
29010370,29010110,2,1,19,0.142857,1.08005,전의면,조치원읍
29010370,29010110,2,1,17,0.142857,1.2094,전의면,조치원읍
29010370,29010110,2,1,22,0.071429,0.562696,전의면,조치원읍
29010370,29010110,2,1,10,0.214286,1.62674,전의면,조치원읍
29010370,29010110,2,1,9,0.071429,0.632366,전의면,조치원읍
29010370,29010110,2,1,13,0.428571,2.94845,전의면,조치원읍
29010370,29010110,2,1,14,0.214286,1.38646,전의면,조치원읍
29010370,29010110,2,1,8,0.142857,1.62603,전의면,조치원읍
29010370,29010110,2,1,15,0.142857,1.06656,전의면,조치원읍
29010370,29010110,2,1,16,0.142857,0.99431,전의면,조치원읍
29010370,29010110,2,1,12,0.071429,0.481948,전의면,조치원읍
29010370,29010110,2,1,7,0.071429,0.914058,전의면,조치원읍
29010370,29010310,2,1,19,0.071429,0.540027,전의면,연기면
29010370,29010310,2,1,18,0.071429,0.60817,전의면,연기면
29010370,29010310,2,1,15,0.071429,0.533283,전의면,연기면
29010370,29010310,2,1,17,0.071429,0.604705,전의면,연기면
29010370,29010320,2,1,20,0.071429,0.55809,전의면,연동면
29010370,29010330,2,1,14,0.071429,0.462154,전의면,부강면
29010370,29010340,2,1,15,0.071429,0.533283,전의면,금남면
29010370,29010350,2,1,17,0.071429,0.604705,전의면,장군면
29010370,29010350,2,1,12,0.142857,0.963889,전의면,장군면
29010370,29010350,2,1,20,0.142857,1.11617,전의면,장군면
29010370,29010360,2,1,14,0.071429,0.462154,전의면,연서면
29010370,29010360,2,1,15,0.142857,1.06656,전의면,연서면
29010370,29010360,2,1,7,0.071429,0.914058,전의면,연서면
29010370,29010360,2,1,13,0.071429,0.491411,전의면,연서면
29010370,29010370,2,1,17,0.142857,1.2094,전의면,전의면
29010370,29010370,2,1,18,0.214286,1.8245,전의면,전의면
29010370,29010370,2,1,8,0.071429,0.813022,전의면,전의면
29010370,29010370,2,1,12,0.071429,0.481948,전의면,전의면
29010370,29010370,2,1,16,0.071429,0.497158,전의면,전의면
29010370,29010370,2,1,15,0.142857,1.06656,전의면,전의면
29010370,29010370,2,1,19,0.071429,0.540027,전의면,전의면
29010370,29010370,2,1,11,0.214286,1.41748,전의면,전의면
29010370,29010370,2,1,21,0.071429,0.546311,전의면,전의면
29010370,29010370,2,1,7,0.142857,1.8281,전의면,전의면
29010370,29010370,2,1,13,0.214286,1.47423,전의면,전의면
29010370,29010370,2,1,14,0.285714,1.84861,전의면,전의면
29010370,29010380,2,1,18,0.142857,1.21633,전의면,전동면
29010370,29010380,2,1,13,0.071429,0.491411,전의면,전동면
29010370,29010380,2,1,15,0.071429,0.533283,전의면,전동면
29010370,29010380,2,1,12,0.142857,0.963889,전의면,전동면
29010370,29010380,2,1,7,0.071429,0.914058,전의면,전동면
29010370,29010380,2,1,9,0.142857,1.26472,전의면,전동면
29010370,29010380,2,1,8,0.285714,3.25206,전의면,전동면
29010370,29010390,2,1,15,0.071429,0.533283,전의면,소정면
29010370,29010390,2,1,19,0.142857,1.08005,전의면,소정면
29010370,29010390,2,1,11,0.285714,1.88997,전의면,소정면
29010370,29010390,2,1,14,0.071429,0.462154,전의면,소정면
29010370,29010390,2,1,17,0.142857,1.2094,전의면,소정면
29010370,29010390,2,1,20,0.071429,0.55809,전의면,소정면
29010370,29010390,2,1,12,0.071429,0.481948,전의면,소정면
29010370,29010390,2,1,13,0.142857,0.982816,전의면,소정면
29010370,29010560,2,1,12,0.071429,0.481948,전의면,종촌동
29010370,29010560,2,1,17,0.071429,0.604705,전의면,종촌동
29010370,29010590,2,1,17,0.071429,0.604705,전의면,아름동
29010370,29010590,2,1,14,0.071429,0.462154,전의면,아름동
29010370,29010590,2,1,20,0.071429,0.55809,전의면,아름동
29010370,29010590,2,1,8,0.214286,2.43905,전의면,아름동
29010370,29010590,2,1,6,0.071429,0.924257,전의면,아름동
29010370,29010600,2,1,13,0.142857,0.982816,전의면,고운동
29010370,29010600,2,1,16,0.071429,0.497158,전의면,고운동
29010370,29010600,2,1,14,0.142857,0.924303,전의면,고운동
29010370,29010600,2,1,19,0.357143,2.70012,전의면,고운동
29010370,29010600,2,1,18,0.071429,0.60817,전의면,고운동
29010370,29010600,2,1,12,0.071429,0.481948,전의면,고운동
29010370,29010610,2,1,14,0.071429,0.462154,전의면,한솔동
29010370,29010610,2,1,6,0.071429,0.924257,전의면,한솔동
29010370,29010610,2,1,21,0.071429,0.546311,전의면,한솔동
29010370,29010640,2,1,15,0.142857,1.06656,전의면,대평동
29010370,29010640,2,1,20,0.071429,0.55809,전의면,대평동
29010370,29010640,2,1,14,0.071429,0.462154,전의면,대평동
29010370,29010640,2,1,9,0.071429,0.632366,전의면,대평동
29010370,29010660,2,1,9,0.071429,0.632366,전의면,보람동
29010370,29010660,2,1,17,0.071429,0.604705,전의면,보람동
29010370,29010670,2,1,7,0.142857,1.8281,전의면,새롬동
29010370,29010670,2,1,13,0.142857,0.982816,전의면,새롬동
29010370,29010670,2,1,12,0.214286,1.44584,전의면,새롬동
29010370,29010670,2,1,15,0.142857,1.06656,전의면,새롬동
29010370,29010670,2,1,17,0.071429,0.604705,전의면,새롬동
29010370,29010680,2,1,12,0.071429,0.481948,전의면,다정동
29010370,29010680,2,1,16,0.071429,0.497158,전의면,다정동
29010370,29010680,2,1,18,0.071429,0.60817,전의면,다정동
29010370,29010690,2,1,13,0.071429,0.491411,전의면,도담동
29010370,29010690,2,1,9,0.071429,0.632366,전의면,도담동
29010370,29010690,2,1,20,0.071429,0.55809,전의면,도담동
29010370,29010690,2,1,21,0.071429,0.546311,전의면,도담동
29010370,29010690,2,1,12,0.142857,0.963889,전의면,도담동
29010370,29010690,2,1,16,0.142857,0.99431,전의면,도담동
29010370,29010690,2,1,10,0.071429,0.54225,전의면,도담동
29010370,29010710,2,1,20,0.071429,0.55809,전의면,소담동
29010370,29010710,2,1,14,0.142857,0.924303,전의면,소담동
29010370,29010710,2,1,13,0.071429,0.491411,전의면,소담동
29010370,29010710,2,1,12,0.071429,0.481948,전의면,소담동
29010370,29010710,2,1,7,0.071429,0.914058,전의면,소담동
29010370,29010720,2,1,10,0.071429,0.54225,전의면,반곡동
29010370,29010720,2,1,12,0.071429,0.481948,전의면,반곡동
29010370,29010720,2,1,19,0.142857,1.08005,전의면,반곡동
29010370,29010720,2,1,18,0.071429,0.60817,전의면,반곡동
29010370,29010720,2,1,14,0.071429,0.462154,전의면,반곡동
29010370,29010720,2,1,21,0.071429,0.546311,전의면,반곡동
29010370,29010720,2,1,17,0.142857,1.2094,전의면,반곡동
29010370,29010310,2,1,19,0.071429,0.540027,전의면,연기면
29010370,29010310,2,1,9,0.071429,0.632366,전의면,연기면
29010370,29010310,2,1,22,0.071429,0.562696,전의면,연기면
29010370,29010310,2,1,12,0.142857,0.963889,전의면,연기면
29010370,29010340,2,1,8,0.071429,0.813022,전의면,금남면
29010370,29010340,2,1,16,0.071429,0.497158,전의면,금남면
29010370,29010340,2,1,19,0.071429,0.540027,전의면,금남면
29010370,29010340,2,1,13,0.071429,0.491411,전의면,금남면
29010370,29010340,2,1,18,0.071429,0.60817,전의면,금남면
29010370,29010340,2,1,23,0.071429,0.669448,전의면,금남면
29010370,29010350,2,1,20,0.071429,0.55809,전의면,장군면
29010370,29010350,2,1,11,0.071429,0.472496,전의면,장군면
29010370,29010350,2,1,16,0.071429,0.497158,전의면,장군면
29010370,29010350,2,1,14,0.071429,0.462154,전의면,장군면
29010370,29010350,2,1,9,0.071429,0.632366,전의면,장군면
29010370,29010370,2,1,9,0.071429,0.632366,전의면,전의면
29010370,29010560,2,1,17,0.071429,0.604705,전의면,종촌동
29010370,29010560,2,1,8,0.071429,0.813022,전의면,종촌동
29010370,29010590,2,1,18,0.071429,0.60817,전의면,아름동
29010370,29010590,2,1,20,0.142857,1.11617,전의면,아름동
29010370,29010590,2,1,22,0.071429,0.562696,전의면,아름동
29010370,29010590,2,1,16,0.071429,0.497158,전의면,아름동
29010370,29010590,2,1,9,0.071429,0.632366,전의면,아름동
29010370,29010590,2,1,21,0.071429,0.546311,전의면,아름동
29010370,29010600,2,1,12,0.071429,0.481948,전의면,고운동
29010370,29010600,2,1,19,0.142857,1.08005,전의면,고운동
29010370,29010600,2,1,15,0.071429,0.533283,전의면,고운동
29010370,29010600,2,1,20,0.071429,0.55809,전의면,고운동
29010370,29010600,2,1,11,0.071429,0.472496,전의면,고운동
29010370,29010600,2,1,16,0.071429,0.497158,전의면,고운동
29010370,29010600,2,1,23,0.071429,0.669448,전의면,고운동
29010370,29010610,2,1,13,0.071429,0.491411,전의면,한솔동
29010370,29010610,2,1,18,0.071429,0.60817,전의면,한솔동
29010370,29010610,2,1,22,0.071429,0.562696,전의면,한솔동
29010370,29010640,2,1,19,0.071429,0.540027,전의면,대평동
29010370,29010640,2,1,12,0.214286,1.44584,전의면,대평동
29010370,29010640,2,1,15,0.071429,0.533283,전의면,대평동
29010370,29010640,2,1,9,0.071429,0.632366,전의면,대평동
29010370,29010660,2,1,11,0.071429,0.472496,전의면,보람동
29010370,29010660,2,1,10,0.071429,0.54225,전의면,보람동
29010370,29010670,2,1,19,0.214286,1.62007,전의면,새롬동
29010370,29010670,2,1,11,0.071429,0.472496,전의면,새롬동
29010370,29010670,2,1,17,0.214286,1.81411,전의면,새롬동
29010370,29010670,2,1,18,0.071429,0.60817,전의면,새롬동
