﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010006LI12220001000627071","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","20","MALE","6","12561.49223"
"LI122200010006LI12220001000627072","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","12","10167.05536"
"LI122200010006LI12220001000627073","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","23","MALE","12","9618.257307"
"LI122200010006LI12220001000627074","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","3","FEMALE","14","14206.71181"
"LI122200010006LI12220001000627075","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","4","8570.645365"
"LI122200010006LI12220001000627076","20211213","50","월","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","2","19635.87774"
"LI122200010006LI12220001000627077","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","2","MALE","11","10793.55039"
"LI122200010006LI12220001000627078","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","14","13722.25697"
"LI122200010006LI12220001000627079","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","5","FEMALE","9","15867.16499"
"LI122200010006LI122200010006270710","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","17","MALE","6","12698.14638"
"LI122200010006LI122200010006270711","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","6","12849.82231"
"LI122200010006LI122200010006270712","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","22","FEMALE","1","6758.670806"
"LI122200010006LI122200010006270713","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","19","MALE","12","9515.675468"
"LI122200010006LI122200010006270714","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","10","MALE","1","5754.225229"
"LI122200010006LI122200010006270715","20211210","49","금","36","세종특별자치시","3611","세종특별자치시","5","MALE","3","20296.59005"
"LI122200010006LI122200010006270716","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","19","FEMALE","12","9916.827884"
"LI122200010006LI122200010006270717","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","6","12740.06141"
"LI122200010006LI122200010006270718","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","15","MALE","5","11209.64049"
"LI122200010006LI122200010006270719","20211215","50","수","36","세종특별자치시","3611","세종특별자치시","17","MALE","4","10805.16013"
"LI122200010006LI122200010006270720","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","1","MALE","14","9676.844942"
"LI122200010006LI122200010006270721","20211214","50","화","36","세종특별자치시","3611","세종특별자치시","5","FEMALE","13","6927.157884"
"LI122200010006LI122200010006270722","20211210","49","금","36","세종특별자치시","3611","세종특별자치시","20","MALE","3","20922.8626"
"LI122200010006LI122200010006270723","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","16","FEMALE","11","9709.808834"
"LI122200010006LI122200010006270724","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","3","FEMALE","1","6713.338568"
"LI122200010006LI122200010006270725","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","12","MALE","7","16080.91441"
"LI122200010006LI122200010006270726","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","4","8581.209265"
"LI122200010006LI122200010006270727","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","8","MALE","11","11145.69276"
"LI122200010006LI122200010006270728","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","6","FEMALE","8","19709.34992"
