"통계표","항목","분류1","분류2","2020","2021","2022","2023","2024"
"종사규모별 사업체수 및 종사자수","사업체수","합계","계","-","30,478","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","합계","계","-","152,974","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","조치원읍","계","-","5,122","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","조치원읍","계","-","18,453","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","연기면","계","-","445","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","연기면","계","-","2,249","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","연동면","계","-","544","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","연동면","계","-","5,806","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","부강면","계","-","1,352","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","부강면","계","-","7,581","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","금남면","계","-","1,357","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","금남면","계","-","4,338","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","장군면","계","-","1,238","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","장군면","계","-","4,416","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","연서면","계","-","1,137","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","연서면","계","-","5,665","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","전의면","계","-","1,219","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","전의면","계","-","7,953","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","전동면","계","-","507","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","전동면","계","-","3,217","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","소정면","계","-","522","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","소정면","계","-","2,419","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","한솔동","계","-","778","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","한솔동","계","-","2,709","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","새롬동","계","-","3,657","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","새롬동","계","-","15,641","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","도담동","계","-","2,876","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","도담동","계","-","31,620","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","해밀동","계","-","181","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","해밀동","계","-","746","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","아름동","계","-","1,244","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","아름동","계","-","5,785","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","종촌동","계","-","1,108","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","종촌동","계","-","3,384","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","고운동","계","-","1,726","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","고운동","계","-","5,676","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","소담동","계","-","1,105","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","소담동","계","-","3,970","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","반곡동","계","-","777","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","반곡동","계","-","7,841","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","보람동","계","-","1,882","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","보람동","계","-","7,853","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","대평동","계","-","716","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","대평동","계","-","2,707","-","-","-"
"종사규모별 사업체수 및 종사자수","사업체수","다정동","계","-","985","-","-","-"
"종사규모별 사업체수 및 종사자수","종사자수","다정동","계","-","2,945","-","-","-"
