사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010200100230,2021년 1월 2일 15시,토요일,세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,28세,상해없음,승용,여,41세,상해없음
2021010200100381,2021년 1월 2일 20시,토요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,기타,교차로 - 교차로부근,승용,남,58세,상해없음,이륜,남,26세,중상
2021010300100049,2021년 1월 3일 10시,일요일,세종특별자치시 금남면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,55세,중상
2021010400100147,2021년 1월 4일 12시,월요일,세종특별자치시 보람동,중상사고,0,1,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,건설기계,남,52세,상해없음,화물,남,40세,경상
2021010400100373,2021년 1월 4일 19시,월요일,세종특별자치시 다정동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,여,26세,중상,승용,여,48세,상해없음
2021010500100058,2021년 1월 5일 08시,화요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,승용,남,31세,경상
2021010500100059,2021년 1월 5일 08시,화요일,세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,서리/결빙,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,25세,경상
2021010500100232,2021년 1월 5일 15시,화요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,자전거,남,63세,경상
2021010500100345,2021년 1월 5일 18시,화요일,세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,승용,남,53세,경상
2021010500100446,2021년 1월 5일 22시,화요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,기타,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,26세,경상
2021010600100012,2021년 1월 6일 02시,수요일,세종특별자치시 소정면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,눈,교차로 - 교차로부근,승용,남,26세,상해없음,화물,남,55세,경상
2021010600100537,2021년 1월 6일 21시,수요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,적설,눈,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,45세,경상
2021010700100039,2021년 1월 7일 06시,목요일,세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,서리/결빙,눈,기타 - 기타,승용,남,56세,상해없음,승용,남,59세,경상
2021010700100074,2021년 1월 7일 08시,목요일,세종특별자치시 가람동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,서리/결빙,눈,기타 - 기타,승용,여,58세,상해없음,승용,남,34세,경상
2021010700100104,2021년 1월 7일 09시,목요일,세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,적설,맑음,교차로 - 교차로안,승용,여,44세,상해없음,승용,여,28세,경상
2021010800100387,2021년 1월 8일 18시,금요일,세종특별자치시 금남면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,적설,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,남,12세 이하,경상
2021010800100388,2021년 1월 8일 18시,금요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,적설,흐림,단일로 - 기타,승합,남,22세,상해없음,보행자,여,71세,중상
2021010900100167,2021년 1월 9일 12시,토요일,세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,승용,여,43세,경상
2021010900100463,2021년 1월 9일 21시,토요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,28세,경상
2021011100100523,2021년 1월 11일 21시,월요일,세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,기타,교차로 - 교차로횡단보도내,승용,남,57세,상해없음,보행자,남,37세,중상
2021011200100272,2021년 1월 12일 15시,화요일,세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,36세,경상,승합,남,61세,상해없음
2021011300100169,2021년 1월 13일 11시,수요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,젖음/습기,맑음,단일로 - 기타,승용,남,72세,상해없음,이륜,남,54세,경상
2021011300100194,2021년 1월 13일 12시,수요일,세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,남,26세,경상
2021011300100509,2021년 1월 13일 22시,수요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,63세,상해없음,승용,남,30세,경상
2021011400100240,2021년 1월 14일 12시,목요일,세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,화물,남,40세,경상
2021011400100304,2021년 1월 14일 14시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,화물,남,29세,경상
2021011400100382,2021년 1월 14일 16시,목요일,세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,48세,상해없음,승용,여,35세,경상
2021011500100378,2021년 1월 15일 17시,금요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,원동기,남,60세,중상
2021011600100117,2021년 1월 16일 11시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,승용,남,41세,경상
2021011600100358,2021년 1월 16일 18시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,38세,상해없음,승용,남,56세,경상
2021011600100391,2021년 1월 16일 19시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,28세,기타불명,승용,여,63세,경상
2021011900100258,2021년 1월 19일 13시,화요일,세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,59세,상해없음,자전거,남,49세,경상
