시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,지정일자,지정근거,지정절차
초등학교,가득초등학교,세종특별자치시 세종로 941,36.48770994,127.2432349,세종특별자치시,세종남부경찰서,N,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,가락초등학교,세종특별자치시 마음로 208,36.51568321,127.2308416,세종특별자치시,세종남부경찰서,Y,2015-04-15,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,감성초등학교,세종특별자치시 금남면 감성길 6,36.44366167,127.2893621,세종특별자치시,세종남부경찰서,N,2006-04-30,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,고운초등학교,세종특별자치시 만남로 45,36.5041231,127.2365002,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,교동초등학교,세종특별자치시 조치원읍 새내18길 21,36.60522794,127.2979422,세종특별자치시,세종북부경찰서,N,1994-08-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,글벗초등학교,세종특별자치시 소담로 121,36.48747768,127.2981953,세종특별자치시,세종남부경찰서,N,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,금남초등학교,세종특별자치시 금남면 금남구즉로 62,36.47270089,127.2882941,세종특별자치시,세종남부경찰서,N,1997-04-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,나래초등학교,세종특별자치시 달빛1로 108,36.50900167,127.2463519,세종특별자치시,세종남부경찰서,Y,2014-09-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,늘봄초등학교,세종특별자치시 다솜1로 183,36.51434376,127.2551568,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,다빛초등학교,세종특별자치시 달빛1로 7,36.50007105,127.244086,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,다정초등학교,세종특별자치시 다정남로 35,36.49405184,127.2441437,세종특별자치시,세종남부경찰서,N,2018-09-04,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
