type,latitude,longitude,altitude (m),name
W,36.52981936,127.2949649,44.4,제목 없는 위치표시
W,36.52966147,127.2949324,42.8,제목 없는 위치표시
W,36.5298493,127.2950647,44.7,제목 없는 위치표시
W,36.52981707,127.2952698,44.6,제목 없는 위치표시
W,36.52956829,127.2950125,41.6,제목 없는 위치표시
W,36.52954002,127.2952108,41.2,제목 없는 위치표시
W,36.52976598,127.295366,44.4,제목 없는 위치표시
W,36.5296035,127.29533,42.3,제목 없는 위치표시
W,36.53486479,127.2820172,50,제목 없는 위치표시
W,36.53456454,127.2819973,50.7,제목 없는 위치표시
W,36.53439122,127.2875469,63.2,제목 없는 위치표시
W,36.53415806,127.2875146,63.9,제목 없는 위치표시
W,36.53433632,127.2879498,72.3,제목 없는 위치표시
W,36.53408379,127.2879005,73.6,제목 없는 위치표시
W,36.53416137,127.2899773,73.1,제목 없는 위치표시
W,36.5339305,127.2899501,77.5,제목 없는 위치표시
W,36.53406592,127.2918636,61,제목 없는 위치표시
W,36.53380599,127.2918567,59.6,제목 없는 위치표시
W,36.53412124,127.2928019,52.4,제목 없는 위치표시
W,36.53386202,127.2928345,52.7,제목 없는 위치표시
W,36.53438932,127.294195,36,제목 없는 위치표시
W,36.53410598,127.2942834,37.5,제목 없는 위치표시
W,36.53457109,127.2947496,29.3,제목 없는 위치표시
W,36.53427167,127.2948765,30.9,제목 없는 위치표시
W,36.5340755,127.2946809,33.9,제목 없는 위치표시
W,36.53402561,127.2944792,36.3,제목 없는 위치표시
W,36.52894557,127.3007656,48.4,제목 없는 위치표시
W,36.52879566,127.3007312,49.9,제목 없는 위치표시
W,36.51854792,127.2924314,57.2,제목 없는 위치표시
W,36.5186145,127.2922724,57.5,제목 없는 위치표시
W,36.52013097,127.2932473,48.9,제목 없는 위치표시
W,36.52017842,127.2930802,48.7,제목 없는 위치표시
W,36.53080654,127.2881651,71,제목 없는 위치표시
W,36.53068036,127.2880772,71.6,제목 없는 위치표시
W,36.52688946,127.2947363,41.6,제목 없는 위치표시
W,36.52688819,127.2945524,42.6,제목 없는 위치표시
W,36.52384361,127.2942288,45.7,제목 없는 위치표시
W,36.52386019,127.2940348,46.9,제목 없는 위치표시
W,36.52360687,127.2941792,46.4,제목 없는 위치표시
W,36.52362606,127.2939966,47.3,제목 없는 위치표시
W,36.47425689,127.2708776,22.4,제목 없는 위치표시
W,36.47413794,127.2709634,22.6,제목 없는 위치표시
W,36.46961498,127.2644036,22,제목 없는 위치표시
W,36.46962628,127.2643738,22,제목 없는 위치표시
W,36.46846247,127.2635582,20.1,제목 없는 위치표시
W,36.46844671,127.263583,20.1,제목 없는 위치표시
W,36.4671477,127.2626216,21.6,제목 없는 위치표시
W,36.46713409,127.2626464,21.7,제목 없는 위치표시
W,36.49249264,127.2690537,20.1,제목 없는 위치표시
W,36.49256457,127.2692228,20.3,제목 없는 위치표시
W,36.49195372,127.2696175,20.7,제목 없는 위치표시
W,36.49189568,127.2694647,20.6,제목 없는 위치표시
W,36.49131912,127.2701016,20.9,제목 없는 위치표시
W,36.49125788,127.2699319,20.4,제목 없는 위치표시
W,36.49145699,127.2693688,20.4,제목 없는 위치표시
W,36.49135029,127.2694265,20.4,제목 없는 위치표시
W,36.49126404,127.2693371,20.2,제목 없는 위치표시
W,36.4912219,127.2692372,20.2,제목 없는 위치표시
W,36.49130497,127.2688671,20.2,제목 없는 위치표시
W,36.49126409,127.2687715,20.2,제목 없는 위치표시
W,36.49065271,127.2705824,21.3,제목 없는 위치표시
W,36.49053526,127.2706417,21.3,제목 없는 위치표시
W,36.49056691,127.2708351,21.6,제목 없는 위치표시
W,36.49061283,127.2709454,21.8,제목 없는 위치표시
W,36.49010356,127.2705602,20.7,제목 없는 위치표시
W,36.49001764,127.2706117,20.7,제목 없는 위치표시
W,36.49028387,127.2724725,20.1,제목 없는 위치표시
W,36.49012825,127.2725744,20.2,제목 없는 위치표시
W,36.4866439,127.282773,22,제목 없는 위치표시
W,36.48650367,127.2828748,22.2,제목 없는 위치표시
W,36.48644315,127.2828458,22.2,제목 없는 위치표시
W,36.48640932,127.2827802,22.1,제목 없는 위치표시
W,36.4863964,127.2827175,22.1,제목 없는 위치표시
W,36.48634843,127.2826992,22.1,제목 없는 위치표시
W,36.48646105,127.2828935,22.1,제목 없는 위치표시
W,36.48643958,127.2829537,22.2,제목 없는 위치표시
W,36.51978372,127.3308996,41.9,제목 없는 위치표시
W,36.51974962,127.3305656,43,제목 없는 위치표시
W,36.52023996,127.330913,43.4,제목 없는 위치표시
W,36.52021546,127.3305597,45.2,제목 없는 위치표시
W,36.52231208,127.3302649,63.6,제목 없는 위치표시
W,36.52215905,127.3299337,64.3,제목 없는 위치표시
W,36.52442584,127.3285535,73.9,제목 없는 위치표시
W,36.52461561,127.3289254,64.9,제목 없는 위치표시
W,36.52491937,127.3287156,70.5,제목 없는 위치표시
W,36.52473457,127.328312,73.9,제목 없는 위치표시
W,36.52679545,127.3262097,54.1,제목 없는 위치표시
W,36.52697759,127.326453,57.1,제목 없는 위치표시
W,36.51634483,127.3255078,25.5,제목 없는 위치표시
