type,latitude,longitude,altitude (m),name
W,36.6345978,127.2864094,40.4,제목 없는 위치표시
W,36.63501785,127.2867905,40,제목 없는 위치표시
W,36.63508548,127.2868715,39.6,제목 없는 위치표시
W,36.6346879,127.2864875,40,제목 없는 위치표시
W,36.63453762,127.2863876,42,제목 없는 위치표시
W,36.63447331,127.2863893,43.1,제목 없는 위치표시
W,36.63458067,127.2888673,38.2,제목 없는 위치표시
W,36.6345351,127.2887636,38.2,제목 없는 위치표시
W,36.6295869,127.2886117,33.7,제목 없는 위치표시
W,36.62956323,127.2886733,33.9,제목 없는 위치표시
W,36.6295668,127.2886927,33.9,제목 없는 위치표시
W,36.62967648,127.2888883,34.6,제목 없는 위치표시
W,36.62952073,127.2886847,33.8,제목 없는 위치표시
W,36.62944176,127.2887098,33.7,제목 없는 위치표시
W,36.62941269,127.2887182,33.7,제목 없는 위치표시
W,36.6293624,127.2886878,33.6,제목 없는 위치표시
W,36.62965906,127.2889361,34.8,제목 없는 위치표시
W,36.62956708,127.2889735,34.8,제목 없는 위치표시
W,36.62945449,127.2889835,34.6,제목 없는 위치표시
W,36.62944889,127.2890749,34.6,제목 없는 위치표시
W,36.62997524,127.2888958,34.4,제목 없는 위치표시
W,36.62992559,127.288866,34.5,제목 없는 위치표시
W,36.62593052,127.2900711,36,제목 없는 위치표시
W,36.62589097,127.2898614,37.5,제목 없는 위치표시
W,36.62577712,127.2898364,38.6,제목 없는 위치표시
W,36.62546328,127.2899171,43.4,제목 없는 위치표시
W,36.62374997,127.2905139,36.9,제목 없는 위치표시
W,36.62372114,127.2903288,38.5,제목 없는 위치표시
W,36.621563,127.2908608,31.6,제목 없는 위치표시
W,36.62153255,127.2906194,32.3,제목 없는 위치표시
W,36.62154548,127.2905743,32.3,제목 없는 위치표시
W,36.62159044,127.290519,32.4,제목 없는 위치표시
W,36.62148629,127.2905881,32.5,제목 없는 위치표시
W,36.62124826,127.2905546,32.6,제목 없는 위치표시
W,36.62130812,127.2906075,32.7,제목 없는 위치표시
W,36.62136894,127.2905977,33,제목 없는 위치표시
W,36.62135627,127.2903816,33.2,제목 없는 위치표시
W,36.62131803,127.2904723,33,제목 없는 위치표시
W,36.61664552,127.2919736,52.1,제목 없는 위치표시
W,36.61669342,127.2920215,51.4,제목 없는 위치표시
W,36.61671489,127.2920037,51.8,제목 없는 위치표시
W,36.61668664,127.2920673,50.6,제목 없는 위치표시
W,36.61668849,127.292186,47.7,제목 없는 위치표시
W,36.61685956,127.2919514,50.6,제목 없는 위치표시
W,36.61677508,127.292482,42.1,제목 없는 위치표시
W,36.61682013,127.2926519,40.3,제목 없는 위치표시
W,36.61327668,127.2928785,33.2,제목 없는 위치표시
W,36.61329896,127.2931455,33,제목 없는 위치표시
W,36.61323735,127.2928396,33.4,제목 없는 위치표시
W,36.61309245,127.2928577,34.1,제목 없는 위치표시
W,36.61297097,127.2928198,34.9,제목 없는 위치표시
W,36.61295881,127.2927862,35,제목 없는 위치표시
